Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2021-03-03,ROU,Romania,Harghita,46.549997,25.558475,6300,,,6300,,,True,True,RO124
2021-03-03,ROU,Romania,Hunedoara,45.753652,22.938806,16022,,,16022,,,True,True,RO423
2021-03-03,ROU,Romania,Iași,47.221224,27.311502,8312,,,8312,,,True,True,RO213
2021-03-03,ROU,Romania,Ialomița,44.627356,27.256013,33985,,,33985,,,True,True,RO315
2021-03-03,ROU,Romania,Ilfov,44.286638,26.144699,31807,,,31807,,,True,True,RO322
2021-03-03,ROU,Romania,Maramureș,47.671302,23.981463,17219,,,17219,,,True,True,RO114
2021-03-03,ROU,Romania,Mehedinți,44.365324,22.737138,6136,,,6136,,,True,True,RO413
2021-03-03,ROU,Romania,Mureș,46.609503,24.697133,18082,,,18082,,,True,True,RO125
2021-03-03,ROU,Romania,Neamț,46.969735,26.375809,14167,,,14167,,,True,True,RO214
2021-03-03,ROU,Romania,NOT SPECIFIED,,,,20586,,-20586,,,True,True,
2021-03-03,ROU,Romania,Olt,44.272504,24.439351,11459,,,11459,,,True,True,RO414
2021-03-03,ROU,Romania,Prahova,45.114672,26.015788,27449,,,27449,,,True,True,RO316
