Date,iso3,Continent,CountryName,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry
2020-02-06,VNM,AS,Vietnam,15.974222,105.806431,10,,,10,,,False,False
2020-02-07,AUS,OC,Australia,-26.853388,133.275155,14,,,14,,,False,False
2020-02-07,KHM,AS,Cambodia,12.54775,104.98386,1,,,1,,,False,False
2020-02-07,CAN,NA,Canada,62.393303,-96.818145,7,,,7,,,False,False
2020-02-07,CHN,AS,China,34.668138,104.165802,31207,637,,30570,,,False,False
2020-02-07,FRA,EU,France,46.232193,2.209667,11,0,0,11,11,0,True,True
2020-02-07,IND,AS,India,21.125681,82.794998,3,,,3,,,False,False
2020-02-07,JPN,AS,Japan,34.886306,134.379711,25,,,25,,,False,False
2020-02-07,MYS,AS,Malaysia,4.109319,109.455475,14,,,14,,,False,False
2020-02-07,NPL,AS,Nepal,28.395056,84.127803,1,,,1,,,False,False
2020-02-07,PHL,AS,Philippines,12.881958,121.766541,3,1,,2,,,False,False
2020-02-07,SGP,AS,Singapore,1.364917,103.822872,30,,,30,,,False,False
2020-02-07,KOR,AS,South Korea,35.901696,127.735889,24,,,24,,,False,False
2020-02-07,LKA,AS,Sri Lanka,7.874097,80.767098,1,,,1,,,False,False
2020-02-07,CHE,EU,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False
2020-02-07,TWN,AS,Taiwan,21.901806,121.471,16,,,16,,,False,False
2020-02-07,THA,AS,Thailand,13.036597,101.492515,25,,,25,,,False,False
2020-02-07,ARE,AS,United Arab Emirates,24.358745,53.982494,5,,,5,,,False,False
2020-02-07,USA,NA,United States of America,36.966428,-95.844032,12,,,12,,,False,False
2020-02-07,VNM,AS,Vietnam,15.974222,105.806431,12,,,12,,,False,False
2020-02-08,AUS,OC,Australia,-26.853388,133.275155,14,,,14,,,False,False
2020-02-08,KHM,AS,Cambodia,12.54775,104.98386,1,,,1,,,False,False
2020-02-08,CAN,NA,Canada,62.393303,-96.818145,7,,,7,,,False,False
2020-02-08,CHN,AS,China,34.668138,104.165802,34625,723,,33902,,,False,False
2020-02-08,FRA,EU,France,46.232193,2.209667,11,0,0,11,0,0,True,True
2020-02-08,IND,AS,India,21.125681,82.794998,3,,,3,,,False,False
2020-02-08,JPN,AS,Japan,34.886306,134.379711,25,,,25,,,False,False
2020-02-08,MYS,AS,Malaysia,4.109319,109.455475,15,,,15,,,False,False
2020-02-08,NPL,AS,Nepal,28.395056,84.127803,1,,,1,,,False,False
2020-02-08,PHL,AS,Philippines,12.881958,121.766541,3,1,,2,,,False,False
2020-02-08,SGP,AS,Singapore,1.364917,103.822872,33,,,33,,,False,False
2020-02-08,KOR,AS,South Korea,35.901696,127.735889,24,,,24,,,False,False
2020-02-08,LKA,AS,Sri Lanka,7.874097,80.767098,1,,,1,,,False,False
2020-02-08,CHE,EU,Switzerland,46.815514,8.224472,0,0,0,0,0,0,False,False
2020-02-08,TWN,AS,Taiwan,21.901806,121.471,17,,,17,,,False,False
2020-02-08,THA,AS,Thailand,13.036597,101.492515,32,,,32,,,False,False
